id,alert_time,alert_type,content,impact_value,status
1,2025-11-10 14:10:58,暴雨预警,垫江县 暴雨预警：人流激增↑,+35%,0
2,2025-11-07 12:10:58,暴雨预警,璧山区 暴雨预警：交通延误↑,+46%,1
3,2025-11-10 20:10:58,体育赛事,合川区 体育赛事：交通延误↑,+37%,1
4,2025-11-07 22:10:58,暴雨预警,璧山区 暴雨预警：火锅预订率↑,+15%,0
5,2025-11-04 22:10:58,演唱会活动,丰都县 演唱会活动：火锅预订率↑,+18%,0
6,2025-11-11 02:10:58,节假日高峰,秀山县 节假日高峰：人流激增↑,+14%,0
7,2025-11-08 02:10:58,交通管制,梁平区 交通管制：交通延误↑,+14%,0
8,2025-11-05 16:10:58,暴雨预警,酉阳县 暴雨预警：人流激增↑,+24%,0
9,2025-11-07 18:10:58,演唱会活动,璧山区 演唱会活动：火锅预订率↑,+35%,0
10,2025-11-08 08:10:58,暴雨预警,大足区 暴雨预警：交通延误↑,+14%,1
11,2025-11-06 17:10:58,演唱会活动,丰都县 演唱会活动：人流激增↑,+46%,0
12,2025-11-08 14:10:58,体育赛事,秀山县 体育赛事：交通延误↑,+18%,1
13,2025-11-07 09:10:58,暴雨预警,城口县 暴雨预警：人流激增↑,+27%,1
14,2025-11-05 20:10:58,暴雨预警,大足区 暴雨预警：人流激增↑,+29%,0
15,2025-11-10 22:10:58,演唱会活动,江北区 演唱会活动：火锅预订率↑,+27%,0
16,2025-11-08 06:10:58,暴雨预警,大渡口区 暴雨预警：人流激增↑,+15%,0
17,2025-11-10 05:10:58,体育赛事,南川区 体育赛事：火锅预订率↑,+21%,0
18,2025-11-06 13:10:58,体育赛事,涪陵区 体育赛事：交通延误↑,+21%,1
19,2025-11-07 19:10:58,暴雨预警,奉节县 暴雨预警：人流激增↑,+20%,1
20,2025-11-05 20:10:58,节假日高峰,南岸区 节假日高峰：人流激增↑,+40%,0
21,2025-11-06 08:10:58,交通管制,潼南区 交通管制：人流激增↑,+31%,0
22,2025-11-09 08:10:58,体育赛事,北碚区 体育赛事：人流激增↑,+18%,0
23,2025-11-08 03:10:58,节假日高峰,北碚区 节假日高峰：人流激增↑,+43%,0
24,2025-11-08 06:10:58,演唱会活动,巫山县 演唱会活动：火锅预订率↑,+50%,0
25,2025-11-10 03:10:58,高温预警,巫溪县 高温预警：火锅预订率↑,+33%,0
26,2025-11-07 20:10:58,演唱会活动,酉阳县 演唱会活动：人流激增↑,+13%,0
27,2025-11-10 04:10:58,演唱会活动,渝北区 演唱会活动：交通延误↑,+30%,1
28,2025-11-09 13:10:58,暴雨预警,万州区 暴雨预警：火锅预订率↑,+50%,1
29,2025-11-09 23:10:58,暴雨预警,垫江县 暴雨预警：火锅预订率↑,+13%,1
30,2025-11-06 05:10:58,节假日高峰,云阳县 节假日高峰：火锅预订率↑,+29%,0
